page,code,text,text_uk,text_en,text_ru
register,text154,Уже маєте аккаунт?,Уже маєте аккаунт?,Already have an account?,Уже есть аккаунт?
header,text2,Записатиcь на тест-драйв,Записатиcь на тест-драйв,Zapysatyc a test drive,Записатиcь на тест-драйв
about,text_2,"За всі роки існування компанії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, яким ділимося із усіма зацікавленими.","За всі роки існування компанії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, яким ділимося із усіма зацікавленими.","For all the years of existence, we have gained considerable experience in the development and manufacture of electric, which we share with all stakeholders.","За все годы существования компании, мы получили большой опыт в разработке и изготовлении электротранспорта, которым делимся со всеми заинтересованными."
test_drive,text66,Модель,Модель,Model,модель
index,index_choose,"При виборі електровелосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед, який підійде саме Вам. Починаючи від велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди.","При виборі електровелосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед, який підійде саме Вам. Починаючи від велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди.","When choosing electric can not limit itself to suggestions. We can pick up a bike that fits you. Starting from the bike for walks in the park, concluding charged brutal motorcycle for aggressive driving.","При выборе электровелосипеда можно не ограничивать себя в пожеланиях. Мы можем подобрать велосипед, который подойдет именно Вам. Начиная от велосипеда для неспешных прогулок по парку, заканчивая заряженным грубым мотоциклом для агрессивной езды."
page_code,content_code,,,#ЗНАЧ!,#ЗНАЧ!
login,text162,Зареєструватись,Зареєструватись,Register,Регистрация
login,text161,Ще не зареєстровані?,Ще не зареєстровані?,Not yet registered?,Еще не зарегистрированы?
login,text160,Забули пароль?,Забули пароль?,Forgot your password?,Забыли пароль?
login,text159,Вхід через Google,Вхід через Google,Login using Google,Вход через Google
login,text158,Пароль,Пароль,Password,пароль
login,text157,Логін,Логін,Login,логин
login,text156,Вхід,Вхід,Exit,Вход
register,text155,Увійти,Увійти,Log in,Войти
register,text153,Повторіть пароль,Повторіть пароль,Repeat password,Повторите пароль
register,text152,Пароль,Пароль,Password,пароль
register,text151,Телефон,Телефон,Phone,Телефон
register,text150,Логін,Логін,Login,логин
register,text149,Реєстрація,Реєстрація,Registration,Регистрация
general,text148,Відправити,Відправити,Send,Отправить
general,text147,Коментар,Коментар,Comment,комментарий
general,text146,Адреса,Адреса,Address,Адрес
general,text145,Телефон,Телефон,Phone,Телефон
general,text144,Ім'я,Ім'я,Name,имя
general,text143,Швидка покупка,Швидка покупка,Express purchase,Быстрая покупка
general,text142,Додати відгук,Додати відгук,Add a review,Добавить отзыв
general,text141,Відгук,Відгук,Response,отзыв
general,text140,Ваша оцінка товару,Ваша оцінка товару,Your grade product,Ваша оценка товара
general,text139,Телефон,Телефон,Phone,Телефон
general,text138,Ім'я,Ім'я,Name,имя
general,text137,Новий відгук,Новий відгук,New review,новый отзыв
general,text136,Відправити,Відправити,Send,Отправить
general,text135,Коментар,Коментар,Comment,комментарий
general,text134,Адреса,Адреса,Address,Адрес
general,text133,Телефон,Телефон,Phone,Телефон
general,text132,Ім'я,Ім'я,Name,имя
general,text131,"На даний момент товару немає у наявності, залиште заявку на інформацію про товар","На даний момент товару немає у наявності, залиште заявку на інформацію про товар","Currently no product available, leave a request for information about the product","На данный момент товара нет в наличии, оставьте заявку на информацию о товаре"
general,text130,Всього,Всього,Total,всего
general,text129,Ціна,Ціна,Price,Цена
general,text128,Кількість,Кількість,Number,количество
order,text127,Оплата карткою,Оплата карткою,Payment card,оплата картой
order,text126,Готівка,Готівка,Cash,Наличные
order,text125,Далі,Далі,Further,Далее
order,text124,Адреса,Адреса,Address,Адрес
order,text123,Номер відділення,Номер відділення,Room separation,номер отделения
order,text122,Місто,Місто,City,город
order,text121,Самовивіз з магазину,Самовивіз з магазину,Pickup from store,Самовывоз из магазина
order,text120,Нова пошта,Нова пошта,New post,Новая почта
order,text119,Доставка від Eleek,Доставка від Eleek,Delivery of Eleek,Доставка от Eleek
order,text118,Далі,Далі,Further,Далее
order,text117,Телефон,Телефон,Phone,Телефон
order,text116,Ім'я та прізвище,Ім'я та прізвище,First and last name,Имя и фамилия
profile,text115,Повторіть пароль,Повторіть пароль,Repeat password,Повторите пароль
profile,text114,Новий Пароль,Новий Пароль,New Password,новый Пароль
profile,text113,Місто,Місто,City,город
profile,text112,Телефон,Телефон,Phone,Телефон
profile,text111,Ім'я та прізвище,Ім'я та прізвище,First and last name,Имя и фамилия
profile,text110,Дія,Дія,Action,действие
profile,text109,Термін дії,Термін дії,Validity,срок действия
profile,text108,Знижка,Знижка,Discount,скидка
profile,text107,Назва,Назва,Name,Название
profile,text106,Ви ще не зробили ніяких замовлень,Ви ще не зробили ніяких замовлень,You have not made any orders,Вы еще не сделали никаких заказов
profile,text105,№ заказу,№ заказу,booking number,№ заказа
profile,text104,Ціна,Ціна,Price,Цена
profile,text103,Дата,Дата,Date,Дата
profile,text102,К-сть,К-сть,Amount,Кол-во
profile,text101,Назва,Назва,Name,Название
profile,text100,Фото,Фото,Photo,фото
profile,text99,Налаштування профілю,Налаштування профілю,profile Options,Настройка профиля
profile,text98,Програма лояльності,Програма лояльності,loyalty Program,программа лояльности
profile,text97,Історія покупок,Історія покупок,purchase History,История покупок
profile,text96,Вийти,Вийти,Go out,выйти
index,text95,Детальніше,Детальніше,more,Подробнее
index,text94,Детальніше,Детальніше,more,Подробнее
index,text93,Потужність,Потужність,Power,мощность
index,text92,Макс. швидкість,Макс. швидкість,Max. speed,Макс. скорость
index,text91,Дистанція,Дистанція,Distance,дистанция
index,text90,год,год,h,ч
index,text89,Тривалість заряду,Тривалість заряду,Duration of charge,продолжительность заряда
index,text88,Потужність,Потужність,Power,мощность
index,text87,км/год,км/год,km / h,км / ч
index,text86,Швидкість,Швидкість,Speed,скорость
index,text85,км,км,km,км
index,text84,Дистанція,Дистанція,Distance,дистанция
index,text83,Детальніше,Детальніше,more,Подробнее
index,text82,Тест-драйв,Тест-драйв,Test Drive,Тест-драйв
general,text81,У даного товару ще немає відгуків. Ви можете бути першим.,У даного товару ще немає відгуків. Ви можете бути першим.,In this product guest. You can be the first.,У данного товара отзывов пока нет. Вы можете быть первым.
general,text80,Додати відгук,Додати відгук,Add a review,Добавить отзыв
general,text79,Схожі товари,Схожі товари,Similar products,Похожие товары
general,text78,Коментар,Коментар,Comment,комментарий
general,text77,Телефон,Телефон,Phone,Телефон
general,text76,Ім'я,Ім'я,Name,имя
general,text75,"Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами","Дякуємо, заявка опрацьована <br>Наші менеджери звяжуться з Вами",Thank you for your application processed <br> Our managers zvyazhutsya you,"Спасибо, заявка проработана <br> Наши менеджеры свяжутся с Вами"
general,text74,Ваші дані успішно змінені,Ваші дані успішно змінені,Your data has been successfully changed,Ваши данные успешно изменены
basket,text73,Замовити,Замовити,Order,Заказать
basket,text72,Замовити,Замовити,Order,Заказать
basket,text71,Знижка,Знижка,Discount,скидка
basket,text70,Всього,Всього,Total,всего
basket,text69,Корзина,Корзина,Basket,Корзина
test_drive,text68,Замовити,Замовити,Order,Заказать
test_drive,text67,Повідомлення,Повідомлення,Message,сообщение
test_drive,text65,Телефон,Телефон,Phone,Телефон
test_drive,text64,Ім'я,Ім'я,Name,имя
thank_you,text63,Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!,Дякуємо за покупку! <br> Менеджер скоро з вами звяжеться!,Thank you for your purchase! <br> Manager zvyazhetsya you soon!,Спасибо за покупку! <br> Менеджер скоро с вами свяжется!
item_category,text62,В даній категорії немає товарів!,В даній категорії немає товарів!,In this category no items!,В данной категории нет товаров!
item_category,text61,Більше товарів,Більше товарів,More products,больше товаров
item_category,text60,Магазин,Магазин,Shop,магазин
item_category,text59,Головна,Головна,Home,Главная
item_category,text58,Ціна,Ціна,Price,Цена
item,text57,Відгуки,Відгуки,Reviews,Отзывы
item,text56,Бренд,Бренд,Brand,бренд
item,text55,Виробник,Виробник,Producer,Производитель
item,text54,Швидка покупка,Швидка покупка,Express purchase,Быстрая покупка
item,text53,Купити,Купити,buy,Купить
item,text52,Інфорація про товар,Інфорація про товар,Inforatsiya Product,Инфорацию о товаре
item,text51,Показати в 3Д,Показати в 3Д,View 3D,Показать в 3Д
faq,text50,Питання та відповіді,Питання та відповіді,Questions and answers,Вопросы и ответы
delivery,text49,"При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються.","При отриманні замовлення від кур’єра або на складі транспортної служби, покупець зобов’язаний у присутності співробітника кур’єрської служби розкрити посилку і перевірити вміст. У разі, якщо покупець не перевірив товар при отриманні, подальші претензії з приводу механічних пошкоджень або неправильної комплектації не приймаються.","Upon receipt of an order from the courier or part of the transport service buyer is obliged in the presence of an employee to reveal parcel courier service and check the contents. If the buyer did not check the goods receipt, further claims regarding mechanical damage or improper assembly are not accepted.","При получении заказа от курьера или на складе транспортной службы, покупатель обязан в присутствии сотрудника курьерской службы раскрыть посылку и проверить содержимое. В случае, если покупатель не проверил товар при получении, дальнейшие претензии по поводу механических повреждений или неправильной комплектации не принимаются."
delivery,text48,Зверніть увагу!,Зверніть увагу!,Pay attention!,Обратите внимание!
delivery,text47,"Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки.","Після відправки, менеджер повідомляє клієнтові номер декларації для отримання товару на транспортної компанії, у клієнта виникнуть питання по збірці або експлуатації виробу, – відповіді на них дадуть фахівці служби техпідтримки.","After sending manager informs the customer number for the declaration of goods to the transport company, the client any questions or assembly of the product, - answers will provide technical support service professionals.","После отправки, менеджер сообщает клиенту номер декларации для получения товара на транспортной компании, у клиента возникнут вопросы по сборке или эксплуатации изделия, - ответы на них дадут специалисты службы техподдержки."
delivery,text46,"Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні.","Для того, щоб виключити можливі претензії і непорозуміння, процес перевірки компонентів або вироби, а також їх упаковки, знімається на фото. Фотофайли зберігається не менше 1 місяця з моменту відправлення товару. Це дозволяє оперативно і об’єктивно розглядати претензії, які можуть виникнути в момент отримання товару, наприклад, – при недостатньо дбайливого транспортуванні.","In order to prevent misunderstandings and possible claims, the process of checking components or products and their packaging, removed the photo. Photo files stored at least 1 month after dispatch. This allows you to quickly and objectively examine the claims that may arise at the time of receipt of goods, for example - if not careful transportation.","Для того, чтобы исключить возможные претензии и недоразумения, процесс проверки компонентов или изделия, а также их упаковки, снимается на фото. Фотофайлы сохраняется не менее 1 месяца с момента отправки товара. Это позволяет оперативно и объективно рассматривать претензии, которые могут возникнуть в момент получения товара, например - при недостаточно бережного транспортировке."
delivery,text45,"Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки.","Якщо Задаються технічні питання, виходять за межі компетенції менеджера, Вас проконсультує фахівець служби техпідтримки.","Asked if technical issues beyond the competence of the manager, you consult a specialist technical support service.","Если задаются технические вопросы, выходящие за пределы компетенции менеджера, Вас проконсультирует специалист службы техподдержки."
delivery,text44,"Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)","Ми зацікавлені в тому, щоб товари, придбані в нас задовольняли Ваші потреби найкращим чином, тому, рекомендуємо перед замовленням обговорити плановану покупку з менеджером, по телефонів, зазначених на головній сторінці сайті. Також, менеджер може передзвонити на вказаний Вами номер телефону (в межах України)","We are interested to products purchased from us meet your needs best, so we recommend to discuss the planned purchase orders with the manager on the phone listed on the home page. Also, the manager can call the specified phone number (in Ukraine)","Мы заинтересованы в том, чтобы товары, приобретенные у нас удовлетворяли Ваши потребности наилучшим образом, потому, рекомендуем перед заказом обсудить планируемую покупку с менеджером, по телефонам, указанным на главной странице сайте. Также, менеджер может перезвонить на указанный Вами номер телефона (в пределах Украины)"
delivery,text43,Вартість доставки оплачує покупець.,Вартість доставки оплачує покупець.,Shipping costs paid by the buyer.,Стоимость доставки оплачивает покупатель.
delivery,text42,Доставка в Росію за допомогою транспортною компанією (Деловие лінії),Доставка в Росію за допомогою транспортною компанією (Деловие лінії),Shipping to Russia via the transport company (Delovye line),Доставка в Россию с помощью транспортной компанией (Деловие линии)
delivery,text41,"Товар доставляється в будь-яку країну, «EMS» «DHL»","Товар доставляється в будь-яку країну, «EMS» «DHL»","Goods delivered to any country, «EMS» «DHL»","Товар доставляется в любую страну, «EMS» «DHL»"
delivery,text40,Міжнародна доставка.,Міжнародна доставка.,International delivery.,Международная доставка.
delivery,text39,Доставка товару по місту Тернопіль – безкоштовна.,Доставка товару по місту Тернопіль – безкоштовна.,Shipping city Ternopil - free.,Доставка товара по городу Тернополь - бесплатно.
delivery,text38,"Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець.","Товар доставляється в будь-який регіон України транспортної компанії за 1-4 дня, через транспортні компанії «Нова пошта», «Автолюкс», «Делівері”, “Інтайм”, “САТ”,. Вартість доставки оплачує покупець.","Goods delivered to any region of Ukraine transportation company for 1-4 day via transport company ""New Mail"", ""Autolux"", ""Delivery"", ""Intime"", ""SAT"" ,. Shipping costs paid by the buyer.","Товар доставляется в любой регион Украины транспортной компании за 1-4 дня, через транспортные компании «Новая почта», «Автолюкс», «Деливери"", ""Интайм"", ""САТ"" ,. Стоимость доставки оплачивает покупатель."
delivery,text37,Доставка по Україні.,Доставка по Україні.,Delivery in Ukraine.,Доставка по Украине.
delivery,text36,Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com),Грошовий переказ за системою “Золотая корона” (www.perevod-korona.com),"Money transfer system ""Golden Crown"" (www.perevod-korona.com)","Денежный перевод по системе ""Золотая корона"" (www.perevod-korona.com)"
delivery,text35,Грошовий переказ за системою Western Union (www.westernunion.ru),Грошовий переказ за системою Western Union (www.westernunion.ru),Money transfer via Western Union (www.westernunion.ru),Денежный перевод по системе Western Union (www.westernunion.ru)
delivery,text34,Способи оплати товару для клієнтів з інших країн:,Способи оплати товару для клієнтів з інших країн:,Payment of goods to customers from other countries:,Способы оплаты товара для клиентов из других стран:
delivery,text33,Перерахування на розрахунковий рахунок,Перерахування на розрахунковий рахунок,Transfer to the account,Перечисления на расчетный счет
delivery,text32,"Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)","Оплата післяплатою, при отриманні в транспортних компаніях: «Нова пошта» (при виборі цього способу оплати клієнт оплачує авансом вартість пересилки)","COD payment, when receiving a transport company: ""New Mail"" (in choosing this payment method the customer pays an advance shipping)","Оплата наложенным платежом, при получении в транспортных компаниях: «Новая почта» (при выборе этого способа оплаты клиент оплачивает авансом стоимость пересылки)"
delivery,text31,Оплата готівкою на картку Visa через термінал поповнення,Оплата готівкою на картку Visa через термінал поповнення,Cash on Visa cards through the recharge terminal,Оплата наличными на карту Visa через терминал пополнения
delivery,text30,Перерахування на картку Visa через інтернет банкінг,Перерахування на картку Visa через інтернет банкінг,Transfer to Visa card through online banking,Перечисление на карту Visa через интернет банкинг
delivery,text29,Готівковий розрахунок (при отриманні замовлення в офісі),Готівковий розрахунок (при отриманні замовлення в офісі),Cash (upon receiving the order in the office),Наличный расчет (при получении заказа в офисе)
delivery,text28,Спосіб оплати товару і послуг для клієнтів з України:,Спосіб оплати товару і послуг для клієнтів з України:,The method of payment for goods and services to customers from Ukraine:,Способ оплаты товара и услуг для клиентов из Украины:
delivery,text27,Оплата і доставка,Оплата і доставка,Payment and delivery,Оплата и доставка
page_404,text26,Магазин,Магазин,Shop,магазин
page_404,text25,Поверніться на головну або перегляньте асортимент наших товарів,Поверніться на головну або перегляньте асортимент наших товарів,Return to start or see our range of products,Вернитесь на главную или посмотрите ассортимент наших товаров
page_404,text24,Такої сторінки не знайдено,Такої сторінки не знайдено,The requested page is not found,Такой страницы не найдено
footer,text23,Розробка,Розробка,working,Разработка
footer,text22,Відправити,Відправити,Send,Отправить
footer,text21,Повідомлення,Повідомлення,Message,сообщение
footer,text20,Ім'я,Ім'я,Name,имя
footer,text19,Зв’язок,Зв’язок,communication,связь
footer,text18,Магазин,Магазин,Shop,магазин
footer,text17,Конструктор,Конструктор,Designer,конструктор
footer,text16,Тест-драйв,Тест-драйв,Test Drive,Тест-драйв
footer,text15,Доставка і оплата,Доставка і оплата,Delivery,Доставка и оплата
footer,text14,Часті питання,Часті питання,Frequently Asked questions,Часто задаваемые вопросы
footer,text13,Про нас,Про нас,About us,О нас
footer,text12,Клієнтам,Клієнтам,customers,клиентам
footer,text11,Пн. - Пт.: 09:00 - 18:00,Пн. - Пт.: 09:00 - 18:00,North. - Fri .: 09:00 - 18:00,С. - Пт .: 09:00 - 18:00
header,text10,Шукати,Шукати,Search,Искать
header,text9,Що шукаєте?,Що шукаєте?,Looking for?,Вы ищете?
header,text8,Пошук,Пошук,Search,Поиск
header,text7,Конструктор Велосипедів,Конструктор Велосипедів,Bicycle Design,конструктор Велосипедов
header,text6,Тест-драйв,Тест-драйв,Test Drive,Тест-драйв
header,text5,Почати,Почати,Begin,начать
header,text4,Конструктор Велосипедів,Конструктор Велосипедів,Bicycle Design,конструктор Велосипедов
header,text3,Записатись,Записатись,enroll,Записаться
header,text1,Тест-драйв,Тест-драйв,Test Drive,Тест-драйв
about,about_us,Про нас,Про нас,About us,О нас
about,certs,Сертифікати,Сертифікати,Certifications,сертификаты
about,our_partners,Партнери,Партнери,Partners,партнеры
about,about_name,Ім'я,Ім'я,Name,имя
about,about_phone,Телефон,Телефон,Phone,Телефон
about,about_email,Email,Email,Email,Email
about,about_message,Повідомлення,Повідомлення,Message,сообщение
header,header_about,Про нас,Про нас,About us,О нас
header,header_faq,Часті питання,Часті питання,Frequently Asked questions,Часто задаваемые вопросы
footer,footer_all_rights,Всі права захищено,Всі права захищено,all rights reserved,Все права защищены
test_drive,test_drive_test_drive,Тест-драйв,Тест-драйв,Test Drive,Тест-драйв
shop,shop_shop,Магазин,Магазин,Shop,магазин
search,search_results,Результати пошуку,Результати пошуку,Search Results,результаты поиска
profile,cabinet,Особистий кабінет,Особистий кабінет,Personal office,Личный кабинет
order,order_order,Оформлення замовлення,Оформлення замовлення,ordering,оформление заказа
order,step1,Крок 1. Контактні дані,Крок 1. Контактні дані,Step 1: Contact Information,Шаг 1. Контактные данные
order,step2,Крок 2. Спосіб доставки,Крок 2. Спосіб доставки,Step 2. Shipping Method,Шаг 2. Способ доставки
order,step3,Крок 3. Оплата,Крок 3. Оплата,Step 3. Payment,Шаг 3. Оплата
general,review,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Share your experience with our product and otsinin it!,Поделитесь своим опытом пользованием нашим товаром и оцининь его!
index,index_feel,Відчуй переваги професіоналів,Відчуй переваги професіоналів,Benefit Professionals,Почувствуй преимущества профессионалов
index,index_all_assort,Весь асортимент,Весь асортимент,The entire range,весь ассортимент
header,header_construct,Склади свій власний електро-велосипед онлайн!,Склади свій власний електро-велосипед онлайн!,Starting your own electric bike online!,Составь свой собственный электро-велосипед онлайн!
index,index_our_velek,Наші велосипеди є одними з найпотужніших та найякісніших на ринку,Наші велосипеди є одними з найпотужніших та найякісніших на ринку,Our bikes are one of the most powerful and highest quality on the market,Наши велосипеды являются одними из самых мощных и качественных на рынке
index,index_assort,У нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,У нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,In our assortment you can find all the most necessary products for your bike,В нашем ассортименте вы можете найти все необходимые товары для вашего басню
about,text_1,"ELEEK – це наступний крок у вело-еволюції. Протягом багатьох років у Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","ELEEK – це наступний крок у вело-еволюції. Протягом багатьох років у Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","ELEEK - is the next step in the evolution of cycling. For many years in Ternopil operates electric bike workshop, which brings together under one roof real professionals and a mild electric fans. We are constantly developing and testing various new products and take an active part in promoting ekotrasportu in Ukraine and abroad.","ELEEK - это следующий шаг в вело-эволюции. В течение многих лет в Тернополе работает электро-вело-мастерская, которая объединила под одной крышей настоящих профессионалов и просто фанатов легкого электротранспорта. Мы постоянно разрабатываем и тестируем различные новинки, а также принимаем активное участие в популяризации екотраспорту в Украине и за ее пределами."
about,about_order,Надіслати,Надіслати,Submit,Отправить
about,about_contacts,Зв'язок,Зв'язок,communication,связь
test_drive,test_drive_text1,"Відчуйте силу електровелосипеду перед покупкою. Заповніть форму на тест-драйв, та наш менеджер зв’яжеться з Вами.","Відчуйте силу електровелосипеду перед покупкою. Заповніть форму на тест-драйв, та наш менеджер зв’яжеться з Вами.","Feel electric power before buying. Fill a test drive, and our manager will contact you.","Почувствуйте силу электровелосипеду перед покупкой. Заполните форму на тест-драйв, и наш менеджер свяжется с Вами."
